2024-04-22 23:12:49,072 - INFO - ***STARTING***
2024-04-22 23:14:29,044 - INFO - ***STARTING***
2024-04-22 23:14:30,770 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:15:40,755 - INFO - ***STARTING***
2024-04-22 23:15:42,286 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:19:33,288 - INFO - ***STARTING***
2024-04-22 23:19:35,438 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:29:49,207 - INFO - Iteration: 6700, PSNR: 26.20502471923828
2024-04-22 23:29:58,098 - INFO - Iteration: 6800, PSNR: 26.856483459472656
2024-04-22 23:30:07,096 - INFO - Iteration: 6900, PSNR: 26.337139129638672
2024-04-22 23:30:16,127 - INFO - Iteration: 7000, PSNR: 26.860788345336914
2024-04-22 23:30:25,747 - INFO - Iteration: 7100, PSNR: 26.41180419921875
2024-04-22 23:30:34,711 - INFO - Iteration: 7200, PSNR: 25.978134155273438
2024-04-22 23:30:43,305 - INFO - Iteration: 7300, PSNR: 27.113561630249023
2024-04-22 23:30:52,272 - INFO - Iteration: 7400, PSNR: 26.698762893676758
2024-04-22 23:31:01,162 - INFO - Iteration: 7500, PSNR: 27.170846939086914
2024-04-22 23:31:10,183 - INFO - Iteration: 7600, PSNR: 26.35526466369629
2024-04-22 23:31:18,882 - INFO - Iteration: 7700, PSNR: 26.416034698486328
2024-04-22 23:31:27,742 - INFO - Iteration: 7800, PSNR: 26.64609718322754
2024-04-22 23:31:37,066 - INFO - Iteration: 7900, PSNR: 26.560489654541016
2024-04-22 23:31:46,055 - INFO - Iteration: 8000, PSNR: 26.94711685180664
2024-04-22 23:31:54,845 - INFO - Iteration: 8100, PSNR: 26.709121704101562
2024-04-22 23:32:03,680 - INFO - Iteration: 8200, PSNR: 23.96070671081543
2024-04-22 23:32:12,082 - INFO - Iteration: 8300, PSNR: 27.22317886352539
2024-04-22 23:32:21,163 - INFO - Iteration: 8400, PSNR: 26.345306396484375
2024-04-22 23:32:30,283 - INFO - Iteration: 8500, PSNR: 26.78920555114746
2024-04-22 23:32:39,245 - INFO - Iteration: 8600, PSNR: 27.0518798828125
2024-04-22 23:32:48,110 - INFO - Iteration: 8700, PSNR: 26.3653564453125
2024-04-22 23:32:56,835 - INFO - Iteration: 8800, PSNR: 27.009326934814453
2024-04-22 23:33:05,439 - INFO - Iteration: 8900, PSNR: 27.43832778930664
2024-04-22 23:33:14,839 - INFO - Iteration: 9000, PSNR: 27.41848373413086
2024-04-22 23:33:23,733 - INFO - Iteration: 9100, PSNR: 26.76852798461914
2024-04-22 23:33:32,224 - INFO - Iteration: 9200, PSNR: 26.28629493713379
2024-04-22 23:33:40,906 - INFO - Iteration: 9300, PSNR: 27.955169677734375
2024-04-22 23:33:49,989 - INFO - Iteration: 9400, PSNR: 28.024808883666992
2024-04-22 23:33:58,797 - INFO - Iteration: 9500, PSNR: 27.590301513671875
2024-04-22 23:34:07,665 - INFO - Iteration: 9600, PSNR: 27.16679573059082
2024-04-22 23:34:16,830 - INFO - Iteration: 9700, PSNR: 27.80368995666504
2024-04-22 23:34:25,998 - INFO - Iteration: 9800, PSNR: 28.155134201049805
2024-04-22 23:34:35,202 - INFO - Iteration: 9900, PSNR: 27.59322738647461
2024-04-22 23:34:44,222 - INFO - Iteration: 10000, PSNR: 27.11054229736328
2024-04-22 23:34:53,233 - INFO - Iteration: 10100, PSNR: 26.906185150146484
2024-04-22 23:35:02,149 - INFO - Iteration: 10200, PSNR: 27.789182662963867
2024-04-22 23:35:11,131 - INFO - Iteration: 10300, PSNR: 27.423362731933594
2024-04-22 23:35:19,717 - INFO - Iteration: 10400, PSNR: 27.955713272094727
2024-04-22 23:35:28,727 - INFO - Iteration: 10500, PSNR: 27.654380798339844
2024-04-22 23:35:37,711 - INFO - Iteration: 10600, PSNR: 27.440650939941406
2024-04-22 23:35:46,709 - INFO - Iteration: 10700, PSNR: 27.810718536376953
2024-04-22 23:35:55,834 - INFO - Iteration: 10800, PSNR: 27.699682235717773
2024-04-22 23:36:04,896 - INFO - Iteration: 10900, PSNR: 27.089441299438477
2024-04-22 23:36:13,946 - INFO - Iteration: 11000, PSNR: 27.699321746826172
2024-04-22 23:36:23,004 - INFO - Iteration: 11100, PSNR: 27.64524269104004
2024-04-22 23:36:31,775 - INFO - Iteration: 11200, PSNR: 28.114778518676758
2024-04-22 23:36:41,016 - INFO - Iteration: 11300, PSNR: 27.914278030395508
2024-04-22 23:36:49,886 - INFO - Iteration: 11400, PSNR: 26.300243377685547
2024-04-22 23:36:58,714 - INFO - Iteration: 11500, PSNR: 28.071617126464844
2024-04-22 23:37:07,728 - INFO - Iteration: 11600, PSNR: 27.73453140258789
2024-04-22 23:37:16,471 - INFO - Iteration: 11700, PSNR: 27.777193069458008
2024-04-22 23:37:25,638 - INFO - Iteration: 11800, PSNR: 28.090131759643555
2024-04-22 23:37:34,806 - INFO - Iteration: 11900, PSNR: 27.626733779907227
2024-04-22 23:37:43,804 - INFO - Iteration: 12000, PSNR: 27.957670211791992
2024-04-22 23:37:52,608 - INFO - Iteration: 12100, PSNR: 27.809314727783203
2024-04-22 23:38:01,587 - INFO - Iteration: 12200, PSNR: 28.20543098449707
2024-04-22 23:38:10,964 - INFO - Iteration: 12300, PSNR: 28.161224365234375
2024-04-22 23:38:20,009 - INFO - Iteration: 12400, PSNR: 27.989158630371094
2024-04-22 23:38:28,679 - INFO - Iteration: 12500, PSNR: 27.66595458984375
2024-04-22 23:38:37,618 - INFO - Iteration: 12600, PSNR: 25.017452239990234
2024-04-22 23:38:46,532 - INFO - Iteration: 12700, PSNR: 27.97069549560547
2024-04-22 23:38:55,831 - INFO - Iteration: 12800, PSNR: 27.76584243774414
2024-04-22 23:39:04,827 - INFO - Iteration: 12900, PSNR: 27.49007225036621
2024-04-22 23:39:13,987 - INFO - Iteration: 13000, PSNR: 28.489086151123047
2024-04-22 23:39:22,819 - INFO - Iteration: 13100, PSNR: 28.311527252197266
2024-04-22 23:39:31,887 - INFO - Iteration: 13200, PSNR: 28.525503158569336
2024-04-22 23:39:41,058 - INFO - Iteration: 13300, PSNR: 28.377079010009766
2024-04-22 23:39:49,743 - INFO - Iteration: 13400, PSNR: 28.172481536865234
2024-04-22 23:39:58,906 - INFO - Iteration: 13500, PSNR: 28.02984046936035
2024-04-22 23:40:07,733 - INFO - Iteration: 13600, PSNR: 27.76992416381836
2024-04-22 23:40:16,583 - INFO - Iteration: 13700, PSNR: 28.514190673828125
2024-04-22 23:40:25,519 - INFO - Iteration: 13800, PSNR: 27.94677734375
