2024-04-28 20:16:57,466 - INFO - ***STARTING***
2024-04-28 20:16:59,426 - INFO - Started processing model
2024-04-28 20:17:00,307 - INFO - Iteration: 0, PSNR: 13.319753646850586
2024-04-28 20:17:16,239 - INFO - Iteration: 100, PSNR: 14.606982231140137
2024-04-28 20:17:32,114 - INFO - Iteration: 200, PSNR: 25.647808074951172
2024-04-28 20:17:48,042 - INFO - Iteration: 300, PSNR: 25.95757293701172
2024-04-28 20:18:03,891 - INFO - Iteration: 400, PSNR: 27.24363136291504
2024-04-28 20:18:19,548 - INFO - Iteration: 500, PSNR: 27.10159683227539
2024-04-28 20:18:35,258 - INFO - Iteration: 600, PSNR: 24.114681243896484
2024-04-28 20:18:50,880 - INFO - Iteration: 700, PSNR: 28.6209716796875
2024-04-28 20:19:06,798 - INFO - Iteration: 800, PSNR: 28.26849937438965
2024-04-28 20:19:22,805 - INFO - Iteration: 900, PSNR: 28.425926208496094
2024-04-28 20:19:38,672 - INFO - Iteration: 1000, PSNR: 29.81057357788086
2024-04-28 20:19:54,356 - INFO - Iteration: 1100, PSNR: 30.215213775634766
2024-04-28 20:20:12,715 - INFO - Iteration: 1200, PSNR: 29.92352294921875
2024-04-28 20:20:31,625 - INFO - Iteration: 1300, PSNR: 29.778959274291992
2024-04-28 20:20:50,127 - INFO - Iteration: 1400, PSNR: 28.738178253173828
2024-04-28 20:21:05,570 - INFO - Iteration: 1500, PSNR: 30.203630447387695
2024-04-28 20:21:21,756 - INFO - Iteration: 1600, PSNR: 31.062145233154297
2024-04-28 20:21:37,272 - INFO - Iteration: 1700, PSNR: 29.105960845947266
2024-04-28 20:21:53,144 - INFO - Iteration: 1800, PSNR: 29.700122833251953
2024-04-28 20:22:09,486 - INFO - Iteration: 1900, PSNR: 30.893409729003906
2024-04-28 20:22:25,911 - INFO - Iteration: 2000, PSNR: 30.59747886657715
2024-04-28 20:22:41,780 - INFO - Iteration: 2100, PSNR: 25.64451026916504
2024-04-28 20:22:58,027 - INFO - Iteration: 2200, PSNR: 31.032634735107422
2024-04-28 20:23:13,608 - INFO - Iteration: 2300, PSNR: 31.65328598022461
2024-04-28 20:23:29,097 - INFO - Iteration: 2400, PSNR: 30.591651916503906
2024-04-28 20:23:44,359 - INFO - Iteration: 2500, PSNR: 31.46145248413086
2024-04-28 20:23:59,709 - INFO - Iteration: 2600, PSNR: 31.751445770263672
2024-04-28 20:24:15,475 - INFO - Iteration: 2700, PSNR: 32.211143493652344
2024-04-28 20:24:31,257 - INFO - Iteration: 2800, PSNR: 30.623577117919922
2024-04-28 20:24:46,703 - INFO - Iteration: 2900, PSNR: 32.00166320800781
2024-04-28 20:25:02,731 - INFO - Iteration: 3000, PSNR: 30.014827728271484
2024-04-28 20:25:18,400 - INFO - Iteration: 3100, PSNR: 31.756532669067383
2024-04-28 20:25:34,962 - INFO - Iteration: 3200, PSNR: 31.32111358642578
2024-04-28 20:25:50,176 - INFO - Iteration: 3300, PSNR: 31.57204818725586
2024-04-28 20:26:09,701 - INFO - Iteration: 3400, PSNR: 31.21249008178711
2024-04-28 20:26:26,091 - INFO - Iteration: 3500, PSNR: 31.882598876953125
2024-04-28 20:26:41,536 - INFO - Iteration: 3600, PSNR: 30.994403839111328
2024-04-28 20:26:57,101 - INFO - Iteration: 3700, PSNR: 31.662809371948242
2024-04-28 20:27:13,071 - INFO - Iteration: 3800, PSNR: 28.567699432373047
2024-04-28 20:27:28,609 - INFO - Iteration: 3900, PSNR: 30.756202697753906
2024-04-28 20:27:44,442 - INFO - Iteration: 4000, PSNR: 32.27931213378906
2024-04-28 20:27:59,708 - INFO - Iteration: 4100, PSNR: 31.619861602783203
2024-04-28 20:28:14,629 - INFO - Iteration: 4200, PSNR: 32.278594970703125
2024-04-28 20:28:30,673 - INFO - Iteration: 4300, PSNR: 32.05986404418945
2024-04-28 20:28:46,436 - INFO - Iteration: 4400, PSNR: 32.73899459838867
2024-04-28 20:29:01,946 - INFO - Iteration: 4500, PSNR: 32.4638786315918
2024-04-28 20:29:17,044 - INFO - Iteration: 4600, PSNR: 32.186683654785156
2024-04-28 20:29:32,118 - INFO - Iteration: 4700, PSNR: 31.607681274414062
2024-04-28 20:29:48,249 - INFO - Iteration: 4800, PSNR: 31.523487091064453
2024-04-28 20:30:03,128 - INFO - Iteration: 4900, PSNR: 32.16443634033203
2024-04-28 20:30:18,778 - INFO - Iteration: 5000, PSNR: 32.00593185424805
2024-04-28 20:30:34,367 - INFO - Iteration: 5100, PSNR: 33.14849853515625
2024-04-28 20:30:49,724 - INFO - Iteration: 5200, PSNR: 32.67634582519531
2024-04-28 20:31:06,099 - INFO - Iteration: 5300, PSNR: 31.386436462402344
2024-04-28 20:31:21,853 - INFO - Iteration: 5400, PSNR: 32.94937515258789
2024-04-28 20:31:37,518 - INFO - Iteration: 5500, PSNR: 31.76712417602539
2024-04-28 20:31:53,224 - INFO - Iteration: 5600, PSNR: 32.49891662597656
2024-04-28 20:32:08,293 - INFO - Iteration: 5700, PSNR: 33.13511657714844
2024-04-28 20:32:24,572 - INFO - Iteration: 5800, PSNR: 32.9328727722168
2024-04-28 20:32:40,330 - INFO - Iteration: 5900, PSNR: 32.315093994140625
2024-04-28 20:32:56,524 - INFO - Iteration: 6000, PSNR: 30.905885696411133
2024-04-28 20:33:12,708 - INFO - Iteration: 6100, PSNR: 31.87911605834961
2024-04-28 20:33:28,010 - INFO - Iteration: 6200, PSNR: 32.14085006713867
2024-04-28 20:33:43,865 - INFO - Iteration: 6300, PSNR: 32.77318572998047
2024-04-28 20:33:59,753 - INFO - Iteration: 6400, PSNR: 32.63096618652344
2024-04-28 20:34:15,318 - INFO - Iteration: 6500, PSNR: 32.417808532714844
2024-04-28 20:34:30,332 - INFO - Iteration: 6600, PSNR: 33.19694137573242
2024-04-28 20:34:45,832 - INFO - Iteration: 6700, PSNR: 33.0390510559082
2024-04-28 20:35:01,463 - INFO - Iteration: 6800, PSNR: 32.964908599853516
2024-04-28 20:35:17,864 - INFO - Iteration: 6900, PSNR: 33.02153396606445
2024-04-28 20:35:34,229 - INFO - Iteration: 7000, PSNR: 32.74039840698242
2024-04-28 20:35:50,193 - INFO - Iteration: 7100, PSNR: 32.42772674560547
2024-04-28 20:36:05,141 - INFO - Iteration: 7200, PSNR: 31.518152236938477
2024-04-28 20:36:21,329 - INFO - Iteration: 7300, PSNR: 33.703975677490234
2024-04-28 20:36:36,944 - INFO - Iteration: 7400, PSNR: 33.180572509765625
2024-04-28 20:36:53,000 - INFO - Iteration: 7500, PSNR: 33.59831237792969
2024-04-28 20:37:08,130 - INFO - Iteration: 7600, PSNR: 33.37498092651367
2024-04-28 20:37:23,508 - INFO - Iteration: 7700, PSNR: 32.30985641479492
2024-04-28 20:37:39,514 - INFO - Iteration: 7800, PSNR: 33.030967712402344
2024-04-28 20:37:55,001 - INFO - Iteration: 7900, PSNR: 33.71401596069336
2024-04-28 20:38:11,074 - INFO - Iteration: 8000, PSNR: 33.86338806152344
2024-04-28 20:38:26,693 - INFO - Iteration: 8100, PSNR: 32.81734848022461
2024-04-28 20:38:42,156 - INFO - Iteration: 8200, PSNR: 33.0611457824707
2024-04-28 20:38:57,773 - INFO - Iteration: 8300, PSNR: 32.84429931640625
2024-04-28 20:39:13,513 - INFO - Iteration: 8400, PSNR: 33.97718048095703
2024-04-28 20:39:29,946 - INFO - Iteration: 8500, PSNR: 32.9385871887207
2024-04-28 20:39:44,920 - INFO - Iteration: 8600, PSNR: 34.09625244140625
2024-04-28 20:40:00,520 - INFO - Iteration: 8700, PSNR: 33.891197204589844
2024-04-28 20:40:16,672 - INFO - Iteration: 8800, PSNR: 32.81718444824219
2024-04-28 20:40:32,800 - INFO - Iteration: 8900, PSNR: 32.904945373535156
2024-04-28 20:40:48,485 - INFO - Iteration: 9000, PSNR: 33.85630416870117
2024-04-28 20:41:03,922 - INFO - Iteration: 9100, PSNR: 33.715919494628906
2024-04-28 20:41:19,472 - INFO - Iteration: 9200, PSNR: 33.45896530151367
2024-04-28 20:41:35,662 - INFO - Iteration: 9300, PSNR: 34.08574676513672
2024-04-28 20:41:50,889 - INFO - Iteration: 9400, PSNR: 34.49961853027344
2024-04-28 20:42:06,803 - INFO - Iteration: 9500, PSNR: 32.88595962524414
2024-04-28 20:42:22,177 - INFO - Iteration: 9600, PSNR: 33.87250900268555
2024-04-28 20:42:37,648 - INFO - Iteration: 9700, PSNR: 33.763153076171875
2024-04-28 20:42:53,240 - INFO - Iteration: 9800, PSNR: 33.270286560058594
2024-04-28 20:43:08,654 - INFO - Iteration: 9900, PSNR: 33.23286819458008
2024-04-28 20:43:24,614 - INFO - Iteration: 10000, PSNR: 33.269065856933594
2024-04-28 20:43:39,831 - INFO - Iteration: 10100, PSNR: 32.83422088623047
2024-04-28 20:43:55,584 - INFO - Iteration: 10200, PSNR: 34.24694061279297
2024-04-28 20:44:11,404 - INFO - Iteration: 10300, PSNR: 34.16261291503906
2024-04-28 20:44:26,808 - INFO - Iteration: 10400, PSNR: 33.427913665771484
2024-04-28 20:44:42,271 - INFO - Iteration: 10500, PSNR: 33.89117431640625
2024-04-28 20:45:01,101 - INFO - Iteration: 10600, PSNR: 32.98570251464844
2024-04-28 20:45:18,527 - INFO - Iteration: 10700, PSNR: 34.560733795166016
2024-04-28 20:45:39,027 - INFO - Iteration: 10800, PSNR: 34.22052001953125
2024-04-28 20:46:00,639 - INFO - Iteration: 10900, PSNR: 33.49092483520508
2024-04-28 20:46:22,706 - INFO - Iteration: 11000, PSNR: 32.295860290527344
2024-04-28 20:46:43,095 - INFO - Iteration: 11100, PSNR: 33.36814498901367
2024-04-28 20:46:59,269 - INFO - Iteration: 11200, PSNR: 34.40309143066406
2024-04-28 20:47:15,465 - INFO - Iteration: 11300, PSNR: 34.152793884277344
2024-04-28 20:47:33,526 - INFO - Iteration: 11400, PSNR: 30.51506233215332
2024-04-28 20:47:52,696 - INFO - Iteration: 11500, PSNR: 33.60847854614258
2024-04-28 20:48:14,455 - INFO - Iteration: 11600, PSNR: 33.67793273925781
2024-04-28 20:48:36,124 - INFO - Iteration: 11700, PSNR: 33.757633209228516
2024-04-28 20:48:57,507 - INFO - Iteration: 11800, PSNR: 33.15104675292969
2024-04-28 20:49:19,088 - INFO - Iteration: 11900, PSNR: 34.19994354248047
2024-04-28 20:49:40,962 - INFO - Iteration: 12000, PSNR: 34.27540588378906
2024-04-28 20:50:02,641 - INFO - Iteration: 12100, PSNR: 35.368587493896484
2024-04-28 20:50:24,241 - INFO - Iteration: 12200, PSNR: 34.09662628173828
2024-04-28 20:50:45,984 - INFO - Iteration: 12300, PSNR: 33.02012634277344
2024-04-28 20:51:07,697 - INFO - Iteration: 12400, PSNR: 34.551414489746094
2024-04-28 20:51:29,393 - INFO - Iteration: 12500, PSNR: 32.785491943359375
2024-04-28 20:51:51,041 - INFO - Iteration: 12600, PSNR: 33.61687469482422
2024-04-28 20:52:12,629 - INFO - Iteration: 12700, PSNR: 34.39595031738281
2024-04-28 20:52:34,331 - INFO - Iteration: 12800, PSNR: 33.671974182128906
2024-04-28 20:52:55,632 - INFO - Iteration: 12900, PSNR: 34.28582000732422
2024-04-28 20:53:18,048 - INFO - Iteration: 13000, PSNR: 34.02733612060547
2024-04-28 20:53:39,551 - INFO - Iteration: 13100, PSNR: 33.874698638916016
2024-04-28 20:54:00,994 - INFO - Iteration: 13200, PSNR: 32.80984115600586
2024-04-28 20:54:22,706 - INFO - Iteration: 13300, PSNR: 34.16276550292969
2024-04-28 20:54:44,326 - INFO - Iteration: 13400, PSNR: 33.34269332885742
2024-04-28 20:55:05,926 - INFO - Iteration: 13500, PSNR: 33.68217086791992
2024-04-28 20:55:27,884 - INFO - Iteration: 13600, PSNR: 34.149478912353516
2024-04-28 20:55:49,658 - INFO - Iteration: 13700, PSNR: 35.087615966796875
2024-04-28 20:56:11,335 - INFO - Iteration: 13800, PSNR: 33.68702697753906
2024-04-28 20:56:32,646 - INFO - Iteration: 13900, PSNR: 33.147499084472656
2024-04-28 20:56:54,789 - INFO - Iteration: 14000, PSNR: 34.12906265258789
2024-04-28 20:57:16,505 - INFO - Iteration: 14100, PSNR: 34.58074188232422
2024-04-28 20:57:37,711 - INFO - Iteration: 14200, PSNR: 34.66769027709961
2024-04-28 20:57:53,453 - INFO - Iteration: 14300, PSNR: 35.20320510864258
2024-04-28 20:58:09,381 - INFO - Iteration: 14400, PSNR: 34.63086700439453
2024-04-28 20:58:25,907 - INFO - Iteration: 14500, PSNR: 34.5135498046875
2024-04-28 20:58:41,582 - INFO - Iteration: 14600, PSNR: 33.098968505859375
2024-04-28 20:58:57,075 - INFO - Iteration: 14700, PSNR: 34.2564582824707
2024-04-28 20:59:13,177 - INFO - Iteration: 14800, PSNR: 34.562644958496094
2024-04-28 20:59:29,548 - INFO - Iteration: 14900, PSNR: 31.759977340698242
2024-04-28 20:59:46,254 - INFO - Iteration: 15000, PSNR: 32.53642654418945
2024-04-28 21:00:01,984 - INFO - Iteration: 15100, PSNR: 34.56828689575195
2024-04-28 21:00:17,958 - INFO - Iteration: 15200, PSNR: 33.80746078491211
2024-04-28 21:00:34,919 - INFO - Iteration: 15300, PSNR: 34.730995178222656
2024-04-28 21:00:51,126 - INFO - Iteration: 15400, PSNR: 35.12712860107422
2024-04-28 21:01:06,919 - INFO - Iteration: 15500, PSNR: 34.36954116821289
2024-04-28 21:01:23,204 - INFO - Iteration: 15600, PSNR: 34.19540023803711
2024-04-28 21:01:39,726 - INFO - Iteration: 15700, PSNR: 34.386329650878906
2024-04-28 21:01:56,215 - INFO - Iteration: 15800, PSNR: 34.95367431640625
2024-04-28 21:02:12,713 - INFO - Iteration: 15900, PSNR: 32.8299560546875
2024-04-28 21:02:29,308 - INFO - Iteration: 16000, PSNR: 35.28710174560547
2024-04-28 21:02:47,664 - INFO - Iteration: 16100, PSNR: 35.322452545166016
2024-04-28 21:03:03,481 - INFO - Iteration: 16200, PSNR: 33.56859588623047
2024-04-28 21:03:19,515 - INFO - Iteration: 16300, PSNR: 34.18833923339844
2024-04-28 21:03:35,398 - INFO - Iteration: 16400, PSNR: 35.26310348510742
2024-04-28 21:03:50,708 - INFO - Iteration: 16500, PSNR: 34.87237548828125
2024-04-28 21:04:06,734 - INFO - Iteration: 16600, PSNR: 34.689945220947266
2024-04-28 21:04:22,611 - INFO - Iteration: 16700, PSNR: 35.146690368652344
2024-04-28 21:04:38,635 - INFO - Iteration: 16800, PSNR: 34.58024597167969
2024-04-28 21:04:53,970 - INFO - Iteration: 16900, PSNR: 34.08300018310547
2024-04-28 21:05:09,525 - INFO - Iteration: 17000, PSNR: 33.93478775024414
2024-04-28 21:05:25,474 - INFO - Iteration: 17100, PSNR: 34.46139907836914
2024-04-28 21:05:41,174 - INFO - Iteration: 17200, PSNR: 35.13301467895508
2024-04-28 21:05:57,021 - INFO - Iteration: 17300, PSNR: 35.496036529541016
2024-04-28 21:06:12,485 - INFO - Iteration: 17400, PSNR: 34.8648796081543
2024-04-28 21:06:27,782 - INFO - Iteration: 17500, PSNR: 35.01906204223633
2024-04-28 21:06:44,172 - INFO - Iteration: 17600, PSNR: 35.03385543823242
2024-04-28 21:06:59,470 - INFO - Iteration: 17700, PSNR: 35.234100341796875
2024-04-28 21:07:15,485 - INFO - Iteration: 17800, PSNR: 34.539649963378906
2024-04-28 21:07:31,020 - INFO - Iteration: 17900, PSNR: 34.312252044677734
2024-04-28 21:07:46,862 - INFO - Iteration: 18000, PSNR: 35.322383880615234
2024-04-28 21:08:02,780 - INFO - Iteration: 18100, PSNR: 34.5693359375
2024-04-28 21:08:18,616 - INFO - Iteration: 18200, PSNR: 34.356876373291016
