2024-04-28 20:13:27,112 - INFO - ***STARTING***
2024-04-28 20:13:28,929 - INFO - Started processing model
2024-04-28 20:13:30,509 - INFO - Iteration: 0, PSNR: 15.846839904785156
2024-04-28 20:13:45,986 - INFO - Iteration: 100, PSNR: 20.762630462646484
2024-04-28 20:14:01,112 - INFO - Iteration: 200, PSNR: 19.955385208129883
2024-04-28 20:14:16,085 - INFO - Iteration: 300, PSNR: 20.807846069335938
2024-04-28 20:14:31,205 - INFO - Iteration: 400, PSNR: 21.791475296020508
2024-04-28 20:14:46,324 - INFO - Iteration: 500, PSNR: 22.388427734375
2024-04-28 20:15:06,977 - INFO - Iteration: 600, PSNR: 22.836994171142578
2024-04-28 20:15:24,515 - INFO - Iteration: 700, PSNR: 22.9914493560791
2024-04-28 20:15:44,003 - INFO - Iteration: 800, PSNR: 23.202011108398438
2024-04-28 20:16:00,096 - INFO - Iteration: 900, PSNR: 22.67315101623535
2024-04-28 20:16:15,400 - INFO - Iteration: 1000, PSNR: 23.611736297607422
2024-04-28 20:16:30,915 - INFO - Iteration: 1100, PSNR: 22.244422912597656
2024-04-28 20:16:46,543 - INFO - Iteration: 1200, PSNR: 23.638145446777344
2024-04-28 20:17:01,460 - INFO - Iteration: 1300, PSNR: 23.870681762695312
2024-04-28 20:17:16,790 - INFO - Iteration: 1400, PSNR: 24.091005325317383
2024-04-28 20:17:31,784 - INFO - Iteration: 1500, PSNR: 23.58107566833496
2024-04-28 20:17:47,559 - INFO - Iteration: 1600, PSNR: 23.551250457763672
2024-04-28 20:18:02,809 - INFO - Iteration: 1700, PSNR: 23.925430297851562
2024-04-28 20:18:17,699 - INFO - Iteration: 1800, PSNR: 24.30307388305664
2024-04-28 20:18:32,753 - INFO - Iteration: 1900, PSNR: 24.46714210510254
2024-04-28 20:18:48,115 - INFO - Iteration: 2000, PSNR: 24.2847843170166
2024-04-28 20:19:03,095 - INFO - Iteration: 2100, PSNR: 24.529903411865234
2024-04-28 20:19:19,023 - INFO - Iteration: 2200, PSNR: 24.35633087158203
2024-04-28 20:19:33,697 - INFO - Iteration: 2300, PSNR: 24.809295654296875
2024-04-28 20:19:48,914 - INFO - Iteration: 2400, PSNR: 25.021591186523438
